"","VehModel","Area","pure_premium","interaction","exposure"
"72","Honda - Accord Seda Ex 2.7/ 3.0 24v","Rondonia",NA,"Honda - Accord Seda Ex 2.7/ 3.0 24v.Rondonia",NA
"73","Honda - Accord Seda Ex 2.7/ 3.0 24v","Roraima",NA,"Honda - Accord Seda Ex 2.7/ 3.0 24v.Roraima",NA
"74","Honda - Accord Seda Ex 2.7/ 3.0 24v","Sergipe",NA,"Honda - Accord Seda Ex 2.7/ 3.0 24v.Sergipe",NA
"75","Honda - Accord Seda Ex 2.7/ 3.0 24v","Sudeste de Goias",NA,"Honda - Accord Seda Ex 2.7/ 3.0 24v.Sudeste de Goias",NA
"76","Honda - Accord Seda Ex 2.7/ 3.0 24v","Sul",NA,"Honda - Accord Seda Ex 2.7/ 3.0 24v.Sul",NA
"77","Honda - Accord Seda Ex 2.7/ 3.0 24v","Tocantins",NA,"Honda - Accord Seda Ex 2.7/ 3.0 24v.Tocantins",NA
"78","Honda - Accord Seda Ex 2.7/ 3.0 24v","Triangulo mineiro",NA,"Honda - Accord Seda Ex 2.7/ 3.0 24v.Triangulo mineiro",NA
"79","Honda - Accord Seda Ex 2.7/ 3.0 24v","Vale do Aco-Norte-Vale Jequitinhonha",NA,"Honda - Accord Seda Ex 2.7/ 3.0 24v.Vale do Aco-Norte-Vale Jequitinhonha",NA
"80","Honda - Accord Seda Ex 2.7/ 3.0 24v","Vale do Paraiba e Ribeira",NA,"Honda - Accord Seda Ex 2.7/ 3.0 24v.Vale do Paraiba e Ribeira",NA
"81","Honda - Accord Seda Ex 3.5 V6 24v","Acre",NA,"Honda - Accord Seda Ex 3.5 V6 24v.Acre",NA
"82","Honda - Accord Seda Ex 3.5 V6 24v","Alagoas",NA,"Honda - Accord Seda Ex 3.5 V6 24v.Alagoas",NA
"83","Honda - Accord Seda Ex 3.5 V6 24v","Amapa",NA,"Honda - Accord Seda Ex 3.5 V6 24v.Amapa",NA
"84","Honda - Accord Seda Ex 3.5 V6 24v","Amazonas",NA,"Honda - Accord Seda Ex 3.5 V6 24v.Amazonas",NA
"85","Honda - Accord Seda Ex 3.5 V6 24v","Bahia",NA,"Honda - Accord Seda Ex 3.5 V6 24v.Bahia",NA
"86","Honda - Accord Seda Ex 3.5 V6 24v","Blumenau e demais regioes",NA,"Honda - Accord Seda Ex 3.5 V6 24v.Blumenau e demais regioes",NA
"87","Honda - Accord Seda Ex 3.5 V6 24v","Brasilia",NA,"Honda - Accord Seda Ex 3.5 V6 24v.Brasilia",NA
"88","Honda - Accord Seda Ex 3.5 V6 24v","Ceara",NA,"Honda - Accord Seda Ex 3.5 V6 24v.Ceara",NA
"89","Honda - Accord Seda Ex 3.5 V6 24v","Demais regioes",NA,"Honda - Accord Seda Ex 3.5 V6 24v.Demais regioes",NA
"90","Honda - Accord Seda Ex 3.5 V6 24v","Espirito Santo",NA,"Honda - Accord Seda Ex 3.5 V6 24v.Espirito Santo",NA
"91","Honda - Accord Seda Ex 3.5 V6 24v","F.Iguatu-Medianeira-Cascavel-Toledo",NA,"Honda - Accord Seda Ex 3.5 V6 24v.F.Iguatu-Medianeira-Cascavel-Toledo",NA
"92","Honda - Accord Seda Ex 3.5 V6 24v","Goias",NA,"Honda - Accord Seda Ex 3.5 V6 24v.Goias",NA
"93","Honda - Accord Seda Ex 3.5 V6 24v","Grande Campinas",NA,"Honda - Accord Seda Ex 3.5 V6 24v.Grande Campinas",NA
"94","Honda - Accord Seda Ex 3.5 V6 24v","Interior",NA,"Honda - Accord Seda Ex 3.5 V6 24v.Interior",NA
"95","Honda - Accord Seda Ex 3.5 V6 24v","Litoral Norte e Baixada Santista",NA,"Honda - Accord Seda Ex 3.5 V6 24v.Litoral Norte e Baixada Santista",NA
"96","Honda - Accord Seda Ex 3.5 V6 24v","Maranhao",NA,"Honda - Accord Seda Ex 3.5 V6 24v.Maranhao",NA
"97","Honda - Accord Seda Ex 3.5 V6 24v","Mato Grosso",NA,"Honda - Accord Seda Ex 3.5 V6 24v.Mato Grosso",NA
"98","Honda - Accord Seda Ex 3.5 V6 24v","Mato Grosso do Sul",NA,"Honda - Accord Seda Ex 3.5 V6 24v.Mato Grosso do Sul",NA
"99","Honda - Accord Seda Ex 3.5 V6 24v","Met. Curitiba",NA,"Honda - Accord Seda Ex 3.5 V6 24v.Met. Curitiba",NA
"100","Honda - Accord Seda Ex 3.5 V6 24v","Met. Florianopolis e Sul",NA,"Honda - Accord Seda Ex 3.5 V6 24v.Met. Florianopolis e Sul",NA
"101","Honda - Accord Seda Ex 3.5 V6 24v","Met. Porto Alegre e Caxias do Sul",NA,"Honda - Accord Seda Ex 3.5 V6 24v.Met. Porto Alegre e Caxias do Sul",NA
"102","Honda - Accord Seda Ex 3.5 V6 24v","Met. de Sao Paulo",1091.62781289308,"Honda - Accord Seda Ex 3.5 V6 24v.Met. de Sao Paulo",149.6654794522
"103","Honda - Accord Seda Ex 3.5 V6 24v","Met. do Rio de Janeiro",NA,"Honda - Accord Seda Ex 3.5 V6 24v.Met. do Rio de Janeiro",NA
"104","Honda - Accord Seda Ex 3.5 V6 24v","Met.BH-Centro Oeste-Zona Mata-C. Vertentes",NA,"Honda - Accord Seda Ex 3.5 V6 24v.Met.BH-Centro Oeste-Zona Mata-C. Vertentes",NA
"105","Honda - Accord Seda Ex 3.5 V6 24v","Oeste",NA,"Honda - Accord Seda Ex 3.5 V6 24v.Oeste",NA
"106","Honda - Accord Seda Ex 3.5 V6 24v","Para",NA,"Honda - Accord Seda Ex 3.5 V6 24v.Para",NA
"107","Honda - Accord Seda Ex 3.5 V6 24v","Paraiba",NA,"Honda - Accord Seda Ex 3.5 V6 24v.Paraiba",NA
"108","Honda - Accord Seda Ex 3.5 V6 24v","Pernambuco",NA,"Honda - Accord Seda Ex 3.5 V6 24v.Pernambuco",NA
"109","Honda - Accord Seda Ex 3.5 V6 24v","Piaui",NA,"Honda - Accord Seda Ex 3.5 V6 24v.Piaui",NA
"110","Honda - Accord Seda Ex 3.5 V6 24v","Ribeirao Preto e Demais Mun. de Campinas",NA,"Honda - Accord Seda Ex 3.5 V6 24v.Ribeirao Preto e Demais Mun. de Campinas",NA
"111","Honda - Accord Seda Ex 3.5 V6 24v","Rio Grande do Norte",NA,"Honda - Accord Seda Ex 3.5 V6 24v.Rio Grande do Norte",NA
"112","Honda - Accord Seda Ex 3.5 V6 24v","Rondonia",NA,"Honda - Accord Seda Ex 3.5 V6 24v.Rondonia",NA
"113","Honda - Accord Seda Ex 3.5 V6 24v","Roraima",NA,"Honda - Accord Seda Ex 3.5 V6 24v.Roraima",NA
"114","Honda - Accord Seda Ex 3.5 V6 24v","Sergipe",NA,"Honda - Accord Seda Ex 3.5 V6 24v.Sergipe",NA
"115","Honda - Accord Seda Ex 3.5 V6 24v","Sudeste de Goias",NA,"Honda - Accord Seda Ex 3.5 V6 24v.Sudeste de Goias",NA
"116","Honda - Accord Seda Ex 3.5 V6 24v","Sul",NA,"Honda - Accord Seda Ex 3.5 V6 24v.Sul",NA
"117","Honda - Accord Seda Ex 3.5 V6 24v","Tocantins",NA,"Honda - Accord Seda Ex 3.5 V6 24v.Tocantins",NA
"118","Honda - Accord Seda Ex 3.5 V6 24v","Triangulo mineiro",NA,"Honda - Accord Seda Ex 3.5 V6 24v.Triangulo mineiro",NA
"119","Honda - Accord Seda Ex 3.5 V6 24v","Vale do Aco-Norte-Vale Jequitinhonha",NA,"Honda - Accord Seda Ex 3.5 V6 24v.Vale do Aco-Norte-Vale Jequitinhonha",NA
"120","Honda - Accord Seda Ex 3.5 V6 24v","Vale do Paraiba e Ribeira",NA,"Honda - Accord Seda Ex 3.5 V6 24v.Vale do Paraiba e Ribeira",NA
"121","Honda - Accord Seda Exr","Acre",NA,"Honda - Accord Seda Exr.Acre",NA
"122","Honda - Accord Seda Exr","Alagoas",NA,"Honda - Accord Seda Exr.Alagoas",NA
"123","Honda - Accord Seda Exr","Amapa",NA,"Honda - Accord Seda Exr.Amapa",NA
"124","Honda - Accord Seda Exr","Amazonas",NA,"Honda - Accord Seda Exr.Amazonas",NA
"125","Honda - Accord Seda Exr","Bahia",NA,"Honda - Accord Seda Exr.Bahia",NA
"126","Honda - Accord Seda Exr","Blumenau e demais regioes",NA,"Honda - Accord Seda Exr.Blumenau e demais regioes",NA
"127","Honda - Accord Seda Exr","Brasilia",NA,"Honda - Accord Seda Exr.Brasilia",NA
"128","Honda - Accord Seda Exr","Ceara",NA,"Honda - Accord Seda Exr.Ceara",NA
"129","Honda - Accord Seda Exr","Demais regioes",NA,"Honda - Accord Seda Exr.Demais regioes",NA
"130","Honda - Accord Seda Exr","Espirito Santo",NA,"Honda - Accord Seda Exr.Espirito Santo",NA
"131","Honda - Accord Seda Exr","F.Iguatu-Medianeira-Cascavel-Toledo",NA,"Honda - Accord Seda Exr.F.Iguatu-Medianeira-Cascavel-Toledo",NA
"132","Honda - Accord Seda Exr","Goias",NA,"Honda - Accord Seda Exr.Goias",NA
"133","Honda - Accord Seda Exr","Grande Campinas",NA,"Honda - Accord Seda Exr.Grande Campinas",NA
"134","Honda - Accord Seda Exr","Interior",NA,"Honda - Accord Seda Exr.Interior",NA
"135","Honda - Accord Seda Exr","Litoral Norte e Baixada Santista",NA,"Honda - Accord Seda Exr.Litoral Norte e Baixada Santista",NA
"136","Honda - Accord Seda Exr","Maranhao",NA,"Honda - Accord Seda Exr.Maranhao",NA
"137","Honda - Accord Seda Exr","Mato Grosso",NA,"Honda - Accord Seda Exr.Mato Grosso",NA
"138","Honda - Accord Seda Exr","Mato Grosso do Sul",NA,"Honda - Accord Seda Exr.Mato Grosso do Sul",NA
"139","Honda - Accord Seda Exr","Met. Curitiba",NA,"Honda - Accord Seda Exr.Met. Curitiba",NA
"140","Honda - Accord Seda Exr","Met. Florianopolis e Sul",NA,"Honda - Accord Seda Exr.Met. Florianopolis e Sul",NA
"141","Honda - Accord Seda Exr","Met. Porto Alegre e Caxias do Sul",NA,"Honda - Accord Seda Exr.Met. Porto Alegre e Caxias do Sul",NA
"142","Honda - Accord Seda Exr","Met. de Sao Paulo",586.492392359987,"Honda - Accord Seda Exr.Met. de Sao Paulo",123.56
"143","Honda - Accord Seda Exr","Met. do Rio de Janeiro",NA,"Honda - Accord Seda Exr.Met. do Rio de Janeiro",NA
"144","Honda - Accord Seda Exr","Met.BH-Centro Oeste-Zona Mata-C. Vertentes",NA,"Honda - Accord Seda Exr.Met.BH-Centro Oeste-Zona Mata-C. Vertentes",NA
"145","Honda - Accord Seda Exr","Oeste",NA,"Honda - Accord Seda Exr.Oeste",NA
"146","Honda - Accord Seda Exr","Para",NA,"Honda - Accord Seda Exr.Para",NA
"147","Honda - Accord Seda Exr","Paraiba",NA,"Honda - Accord Seda Exr.Paraiba",NA
"148","Honda - Accord Seda Exr","Pernambuco",NA,"Honda - Accord Seda Exr.Pernambuco",NA
"149","Honda - Accord Seda Exr","Piaui",NA,"Honda - Accord Seda Exr.Piaui",NA
"150","Honda - Accord Seda Exr","Ribeirao Preto e Demais Mun. de Campinas",NA,"Honda - Accord Seda Exr.Ribeirao Preto e Demais Mun. de Campinas",NA
"151","Honda - Accord Seda Exr","Rio Grande do Norte",NA,"Honda - Accord Seda Exr.Rio Grande do Norte",NA
"152","Honda - Accord Seda Exr","Rondonia",NA,"Honda - Accord Seda Exr.Rondonia",NA
"153","Honda - Accord Seda Exr","Roraima",NA,"Honda - Accord Seda Exr.Roraima",NA
"154","Honda - Accord Seda Exr","Sergipe",NA,"Honda - Accord Seda Exr.Sergipe",NA
"155","Honda - Accord Seda Exr","Sudeste de Goias",NA,"Honda - Accord Seda Exr.Sudeste de Goias",NA
"156","Honda - Accord Seda Exr","Sul",NA,"Honda - Accord Seda Exr.Sul",NA
"157","Honda - Accord Seda Exr","Tocantins",NA,"Honda - Accord Seda Exr.Tocantins",NA
"158","Honda - Accord Seda Exr","Triangulo mineiro",NA,"Honda - Accord Seda Exr.Triangulo mineiro",NA
"159","Honda - Accord Seda Exr","Vale do Aco-Norte-Vale Jequitinhonha",NA,"Honda - Accord Seda Exr.Vale do Aco-Norte-Vale Jequitinhonha",NA
"160","Honda - Accord Seda Exr","Vale do Paraiba e Ribeira",NA,"Honda - Accord Seda Exr.Vale do Paraiba e Ribeira",NA
"161","Honda - Accord Seda Lx 2.0 16v 150cv/ 156cv Aut.","Acre",NA,"Honda - Accord Seda Lx 2.0 16v 150cv/ 156cv Aut..Acre",NA
"162","Honda - Accord Seda Lx 2.0 16v 150cv/ 156cv Aut.","Alagoas",NA,"Honda - Accord Seda Lx 2.0 16v 150cv/ 156cv Aut..Alagoas",NA
"163","Honda - Accord Seda Lx 2.0 16v 150cv/ 156cv Aut.","Amapa",NA,"Honda - Accord Seda Lx 2.0 16v 150cv/ 156cv Aut..Amapa",NA
"164","Honda - Accord Seda Lx 2.0 16v 150cv/ 156cv Aut.","Amazonas",NA,"Honda - Accord Seda Lx 2.0 16v 150cv/ 156cv Aut..Amazonas",NA
"165","Honda - Accord Seda Lx 2.0 16v 150cv/ 156cv Aut.","Bahia",NA,"Honda - Accord Seda Lx 2.0 16v 150cv/ 156cv Aut..Bahia",NA
"166","Honda - Accord Seda Lx 2.0 16v 150cv/ 156cv Aut.","Blumenau e demais regioes",NA,"Honda - Accord Seda Lx 2.0 16v 150cv/ 156cv Aut..Blumenau e demais regioes",NA
"167","Honda - Accord Seda Lx 2.0 16v 150cv/ 156cv Aut.","Brasilia",NA,"Honda - Accord Seda Lx 2.0 16v 150cv/ 156cv Aut..Brasilia",NA
"168","Honda - Accord Seda Lx 2.0 16v 150cv/ 156cv Aut.","Ceara",NA,"Honda - Accord Seda Lx 2.0 16v 150cv/ 156cv Aut..Ceara",NA
"169","Honda - Accord Seda Lx 2.0 16v 150cv/ 156cv Aut.","Demais regioes",NA,"Honda - Accord Seda Lx 2.0 16v 150cv/ 156cv Aut..Demais regioes",NA
"170","Honda - Accord Seda Lx 2.0 16v 150cv/ 156cv Aut.","Espirito Santo",NA,"Honda - Accord Seda Lx 2.0 16v 150cv/ 156cv Aut..Espirito Santo",NA
