VehGroup,pp_weighted,exposure,n_cells
Nissan Frontier,261.87830309335567,9871.661643837766,22
Ford Fusion,257.0104730949479,12142.738630137741,14
Gm Chevrolet S-10,250.5412226538665,72502.2046575363,24
Vw Volkswagen Pointer,250.1067128417831,248.33,1
Fiat Brava,249.56776617973063,3332.4175342462395,6
Land Rover Defender,248.88312736303132,960.8164383566008,3
Vw Volkswagen Spacefox,247.0403294084714,49658.527534246896,22
Nissan Pathfinder,247.03237935494985,239.1427397261001,1
Gm Chevrolet Vectra,246.30736350695668,94547.25863013943,23
Volvo Xc60,245.66798827788313,580.1,2
Mercedes-benz - Outros,245.53020821012248,7196.662328766566,11
Fiat Doblo,244.9943153566222,22667.05246575385,19
Nissan Sentra,242.85711586753757,7323.264931508358,15
Fiat Linea,242.39628042774663,6376.694383562282,13
Agrale Caminhoes - Todos,241.03790947421226,978.0328767132013,4
Fiat Uno 1.0,240.39320928684984,205584.0809589103,25
Kia Motors Sportage,239.707509316778,11697.138767123912,17
Ford F-1000,238.9572804055828,3498.914109588545,7
Iveco Daily Chassi,238.65098962695234,3753.2130136989053,8
Toyota Corolla,237.9999253575304,137279.07246575208,24
Fiat Premio,237.57438367809578,176.45,1
Vw Volkswagen Kombi,234.0236960849781,32201.66643835744,20
Kia Motors Sorento,231.80310156648088,1608.1665753427708,6
Fiat Siena 1.0,227.5832933808887,94507.33698630164,24
Citroen C5,223.41690638479378,1052.4628767127356,5
Hyundai Tucson,219.39935661913427,38402.01780821998,23
Citroen C4,216.88314554644782,25112.260273971315,21
Fiat Marea Weekend,216.69560959805924,957.4028767118044,4
Vw Volkswagen Gol 1.0,214.18836900563528,382876.2289041119,27
Gm Chevrolet Zafira,213.15006634922713,35082.0064383579,14
Nissan Xterra,210.27064485503286,537.8782191778347,4
Fiat Palio 1.0,209.94047316536142,352579.1234246529,27
Fiat Idea,209.11022949390482,52542.22630136922,22
Land Rover Freelander,207.62196192410062,2809.09589041071,7
Fiat Strada,206.29044775736307,93475.45273972451,23
Kia Motors Cerato,206.27639336974383,5556.8646575344355,16
Dodge Dakota,204.60812229409575,297.65191780833527,1
Ford Eco Sport,204.5484572795375,112994.36479451829,23
Ford Explorer,203.6221628491435,204.5209589039348,1
Honda Cr-v,203.18203898128365,12395.519863013084,15
Gm Chevrolet Montana,202.95304905349772,42913.31931507092,22
Vw Volkswagen Fox Acima De 1.0,202.74092860579609,39338.287808217094,19
Hyundai Azera,199.65035752939005,6510.682054794972,13
Fiat Marea,198.60418478965855,2687.259589042608,7
Jeep Cherokee,197.76004939372987,1955.1067123280095,6
Vw Volkswagen Polo,196.3946409554723,94003.18109589224,23
Mercedes-benz Classe A,196.36502741987962,9814.522602739651,10
Gm Chevrolet Astra,195.6825883419056,114536.48068493113,23
Fiat Fiorino,194.75121124157573,27817.12095890412,17
Vw Volkswagen Santana,192.81400284211,16249.00657534482,13
Vw Volkswagen Voyage,191.20781442981007,48375.318904110274,23
Gm Chevrolet Meriva,189.70157453310583,65110.730000000374,20
Nissan - Tiida,189.3626525890271,4758.921506849546,9
Chrysler - Todos,184.17564519561716,4280.02301369844,7
Troller T4,182.82918893072278,1427.5236986305008,7
Ford Focus,180.0588849836522,65147.43219178002,23
Renault Megane,178.99394821289712,21427.271917809172,15
Mazda - Todos,174.30901287553647,116.5,1
Gm Chevrolet Tracker,173.6038737815128,7874.334657534436,15
Honda Fit,166.57347323539344,118390.279178076,23
Vw Volkswagen Fox 1.0,166.1159240734311,131380.81205479472,23
Dafra,165.6011645630419,489.7127397261001,1
Subaru Impreza,161.23791646609592,685.694794519674,1
Gm Chevrolet Prisma,158.52008484708213,65131.708767124386,23
Renault Scenic,154.18864809796546,28758.031506850664,12
Gm Chevrolet Celta 1.0,154.14685642488703,269073.8102739768,24
Yamaha Motos Ate 450cc,153.10112534390487,6199.346986300815,11
Dodge Journey,153.08402816472116,768.5909589039348,2
Gm Chevrolet Omega,151.81412079834723,3436.9530136993717,7
Peugeot 206,149.52120542940182,90613.8895890401,22
Toyota Rav4,149.36819912835648,2485.9575342467056,6
Gm Chevrolet Celta Acima De 1.0,140.56435987162354,6445.581232877672,10
Gm Chevrolet Corsa Acima De 1.0,139.984061248964,118271.58643836339,23
Renault Clio Acima De 1.0,135.98100723787675,19307.196301372198,15
Renault - Sandero,134.46717993500997,53332.53068493058,23
Peugeot 306,132.58735113185247,659.98,2
Suzuki Vitara,131.39818783571158,184.31,1
Citroen C3,129.59337802710718,70436.36904109923,22
Peugeot 207,128.88387434066354,39372.38095890309,23
Vw Volkswagen Quantum,128.27525600066784,3265.0412328767407,6
Ford Fiesta Acima De 1.0,128.26231533206803,97946.08780821737,23
Renault Logan,126.68960906163753,37953.82301369815,23
Renault Clio 1.0,126.59929130057101,67009.26136986785,22
Citroen Xsara,126.03449591225657,36128.74369863041,18
Gm Chevrolet Kadett,125.61812027499148,6009.5310958915015,6
Gm Chevrolet Chevette,125.02464401528196,461.7809589039348,2
Honda Accord,124.62893568025737,3201.222876712736,6
Peugeot 406,123.73407890649271,160.95,1
Peugeot Partner,119.33809837586821,1298.8810958910362,4
Fiat Elba,118.69502826551327,694.0054794522002,3
Gm Chevrolet Opala,114.36023247165653,161.4809589039348,1
Ford Fiesta 1.0,113.861498405037,174409.7634246617,25
Kia Motors Magnetis,111.9285566408823,531.33,3
Renault Kangoo,106.18854350620062,3986.559999999255,6
Gm Chevrolet Corsa 1.0,105.97749840966355,291866.07972602925,25
Kia Motors Besta,104.79397239418809,1253.9747945206054,4
Fiat Tempra,103.55044304038039,1665.3912328772062,6
Ford Ka Acima De 1.0,101.0463275192959,4728.1876712319445,8
Gm Chevrolet Ipanema,99.22377667265975,938.8273972610012,3
Honda Motos Ate 450cc,97.12525934945066,34362.585205481635,24
Suzuki Grand Vitara,96.6327759387565,1830.3520547945054,7
Ford Courier,94.59247028173667,17468.113424658346,11
Gm Chevrolet Monza,94.25247337456655,7509.054931506776,6
Fiat Uno Acima De 1.0,93.0460138664689,1741.815616438836,6
Gm Chevrolet Suprema,88.92097663428721,114.27,1
Nissan - Outros,86.67484751145918,554.1400000000001,3
Ford Ka 1.0,80.80359185010886,119182.5979452054,24
Hafei,80.09674960542013,342.36095890393483,1
Saab-scania,79.04924782931785,851.6083561649359,3
Fiat Uno Furgao,78.9407513117485,1194.604794519674,6
Suzuki Motos Ate 450cc,78.10506128366737,4687.007397260069,9
Gm Chevrolet Caravan,77.04404044860664,129.5882191778347,1
Ford Pampa,71.22039487086937,1895.566575343702,5
Peugeot 106,67.60728657436891,435.426438356135,2
Effa,65.32502077814969,277.88739726006986,1
Ford Escort,65.17335239867657,15056.506438357254,9
Ford Versailles,58.62369064426687,881.1454794522002,4
Vw Volkswagen Fusca,58.03293700509998,1279.9110958915016,5
Fiat Tipo,52.913360103740686,1064.2491780827008,5
Kia Motors Picanto,48.226321139519385,5313.509178082701,11
Ford Verona,46.352492211306206,534.2754794522002,2
Ford Royale,34.79453069996665,269.87,1
Vw Volkswagen Logus,33.71334479462113,1338.0754794522002,5
Suzuki - Outros,24.544110399211434,162.32,1
Sundown Motos Ate 450cc,24.235161338023367,674.5983561640046,3
Ford Transit,15.680969679330035,127.7982191778347,1
Subaru Legacy,15.175494051696496,250.2719178078696,1
Ford Del Rey,8.406582208290006,630.4583561644704,3
Hyundai Terracan,4.00892471570462,138.94,1
Daewoo - Todos,0.0,123.45,1
Chevrolet Caminhoes - Todos,0.0,322.8056164379045,2
Ford Mondeo,0.0,895.0165753418394,3
Marcopolo Volare,0.0,1126.1004109575783,4
Vw Volkswagen Apolo,0.0,109.4,1
Volvo Xc90,0.0,140.1,1
Mitsubishi Galant,0.0,121.92273972610012,1
Mitsubishi Space Wagon,0.0,130.79,1
Kia Motors Carnival,0.0,293.4491780817695,1
Jeep Wrangler,0.0,109.21,1
Jaguar - Todos,0.0,186.8527397261001,1
Alfa Romeo 156,0.0,107.14,1
Iveco Eurocargo,0.0,295.0854794522003,2
Iveco Daily Outros,0.0,172.53,1
Porsche Cayenne,0.0,292.4109589039348,1
Renault 19,0.0,102.64547945220023,1
Hyundai H1,0.0,119.97643835613505,1
Renault Twingo,0.0,348.65,1
Seat Cordoba,0.0,109.73,1
Subaru - Outros,0.0,183.27273972610013,1
Subaru Outback,0.0,168.15547945220024,1
Lexus,0.0,127.7,1
Ford Taurus,0.0,140.3627397261001,1
Volvo S40,0.0,156.81369863003493,1
Volvo S60,0.0,104.57000000000001,1
Iveco Eurotech,0.0,103.5,1
