VehGroup,pp_weighted,exposure,n_cells
Agrale Caminhoes - Todos,255.01903457294424,978.0328767132013,4
Gm Chevrolet Celta Acima De 1.0,254.17645683267008,6445.581232877672,10
Vw Volkswagen Fox 1.0,249.32621809597464,131380.81205479472,23
Vw Volkswagen Quantum,248.6081927010823,3265.0412328767407,6
Kia Motors Carnival,245.22133771302768,293.4491780817695,1
Ford Taurus,244.91542461398453,140.3627397261001,1
Gm Chevrolet Corsa 1.0,242.4790577460463,291866.07972602925,25
Vw Volkswagen Pointer,231.77626545322755,248.33,1
Vw Volkswagen Parati 1.0,228.0277112862344,3052.769315068871,6
Vw Volkswagen Kombi,217.94524247478628,32201.66643835744,20
Ford Escort,214.90250831075463,15056.506438357254,9
Peugeot 306,206.49716658080547,659.98,2
Kia Motors Besta,197.53028616073175,1253.9747945206054,4
Suzuki Vitara,185.71428571428572,184.31,1
Gm Chevrolet Ipanema,171.25299119844792,938.8273972610012,3
Renault 19,165.10225380058603,102.64547945220023,1
Ford F-1000,163.38812045524227,3498.914109588545,7
Peugeot 106,163.20322731959976,435.426438356135,2
Gm Chevrolet Monza,151.1571043697559,7509.054931506776,6
Fiat Tempra,150.5658220421823,1665.3912328772062,6
Fiat Tipo,148.81007499137883,1064.2491780827008,5
Hyundai Atos Prime,145.2307972443932,329.51,1
Gm Chevrolet Kadett,144.28180604519736,6009.5310958915015,6
Dafra,142.34875743479597,489.7127397261001,1
Hyundai H100,137.68482461887996,422.66095890440045,1
Fiat Elba,136.8087181025484,694.0054794522002,3
Gmc Caminhoes - Todos,128.52952085346894,321.31917808270083,1
Renault Trafic,128.46336331555975,166.47547945220023,1
Ford Versailles,127.83473629125106,881.1454794522002,4
Fiat Uno Acima De 1.0,112.39191918616854,1741.815616438836,6
Ford Royale,108.87093785896913,269.87,1
Vw Volkswagen Apolo,108.42778793418647,109.4,1
Kasinski Motos Ate 450cc,106.61815012776857,378.8191780817695,1
Ford Verona,102.17388238736096,534.2754794522002,2
Vw Volkswagen Logus,100.19838346853845,1338.0754794522002,5
Ford Del Rey,99.72268490894356,630.4583561644704,3
Ford Pampa,90.28487958486444,1895.566575343702,5
Seat Cordoba,87.60594185728607,109.73,1
Gm Chevrolet Opala,85.51472627936889,161.4809589039348,1
Yamaha Motos Ate 450cc,84.09659939217065,6199.346986300815,11
Suzuki Motos Ate 450cc,72.57359999022972,4687.007397260069,9
Daewoo - Todos,55.27744025921425,123.45,1
Toyota Band,52.92483042409647,1225.1149315063096,5
Marcopolo Volare,51.83019154603499,1126.1004109575783,4
Gm Chevrolet Chevette,49.133684623666,461.7809589039348,2
Honda Motos Ate 450cc,36.04592007828356,34362.585205481635,24
Gm Chevrolet Caravan,29.87925927654296,129.5882191778347,1
Vw Volkswagen Fusca,23.82743621638642,1279.9110958915016,5
Sundown Motos Ate 450cc,22.634208726544667,674.5983561640046,3
Hyundai H1,19.795553464840403,119.97643835613505,1
Alfa Romeo 156,17.313795034534255,107.14,1
Chevrolet Caminhoes - Todos,2.654848479579828,322.8056164379045,2
Fiat Premio,0.0,176.45,1
