"","Acre","Alagoas","Amapa","Amazonas","Bahia","Blumenau e demais regioes","Brasilia","Ceara","Demais regioes","Espirito Santo","F.Iguatu-Medianeira-Cascavel-Toledo","Goias","Grande Campinas","Interior","Litoral Norte e Baixada Santista","Maranhao","Mato Grosso","Mato Grosso do Sul","Met. Curitiba","Met. de Sao Paulo","Met. do Rio de Janeiro","Met. Florianopolis e Sul","Met. Porto Alegre e Caxias do Sul","Met.BH-Centro Oeste-Zona Mata-C. Vertentes","Oeste","Para","Paraiba","Pernambuco","Piaui","Ribeirao Preto e Demais Mun. de Campinas","Rio Grande do Norte","Rondonia","Roraima","Sergipe","Sudeste de Goias","Sul","Tocantins","Triangulo mineiro","Vale do Aco-Norte-Vale Jequitinhonha","Vale do Paraiba e Ribeira"
"Honda - Biz 125 Ks/ Ks Fuel Injection",288.778846153846,399.602015745629,110.204545454545,85.5415549597855,453.008487084871,287.905282331512,458.18082788671,312.213004484305,306.130220682108,357.213683223992,217.513400335008,308.509153525467,368.189966350566,93.0821114369502,360.008020164986,240.337526205451,246.401696222051,258.696473551637,219.873083778966,490.200509544649,155.095367847411,159.6973643886,312.913540885221,255.694362017804,220.354634427173,405.56146025878,313.361253196931,329.380668257757,269.04347826087,294.284183006536,334.535141242938,NA,389.045454545455,367.446455505279,377.289699570815,174.920779220779,204.114649681529,343.837630279759,82.6323529411765,374.853128512552
"Honda - Biz 125+",283.44847485573,342.806574559314,530.178391959799,205.716307692308,406.462713590585,306.755883611468,358.794227188082,366.118279569892,304.855270197967,447.283379324984,324.461479198767,332.942433523597,402.718796835566,286.106936416185,462.3260670194,370.380042462845,370.244770857814,337.504461846658,308.346774193548,500.575633337413,445.621800947867,256.410884353741,331.255744255744,379.291031692515,262.299556213018,395.600062295593,321.998449202576,354.750690607735,482.272108843537,350.592162417375,402.124151967436,NA,324.666666666667,369.500440937992,349.456349206349,271.066361556064,398.101918465228,352.297669256382,345.273680807284,439.872566371681
"Honda - C 100 Biz",NA,NA,693.342857142857,265.65306122449,302.308970099668,212.257668711656,NA,386.6,219.353550295858,300.083333333333,16.08,470.296650717703,282.797101449275,NA,410.712418300654,356.265306122449,393.269961977186,469.095652173913,211.638418079096,333.648985959438,NA,NA,274.295,369.864077669903,150,474.88,293.166666666667,349.68,NA,303.671739130435,574.545454545455,NA,NA,NA,NA,136.86,401.18,352.985106382979,NA,384.975
"Honda - C 100 Biz-es",NA,NA,NA,284.9,270.661538461538,299.087786259542,502.76,NA,299.466113416321,360.45,23.48,363.321705426357,331.452307692308,144.77,395.31884057971,267.813953488372,259.765060240964,499.512942707039,353.876865671642,365.564245810056,221.045454545455,260.462025316456,408.951690821256,349.892733564014,140.494117647059,420.946188340807,106.666666666667,276.544109256288,NA,299.525,279.5,NA,279.33734939759,264.076923076923,178.533333333333,260.875,454.52,322.116389548694,185.439393939394,277.473484848485
"Honda - C 100 Biz+",NA,276.5625,NA,NA,317.813765182186,177.868055555556,NA,356.555555555556,281.651122625216,NA,321.64,214.012779552716,309.68,415.24,392.546871572118,308.66,376.144329896907,302.738461538461,345.859550561798,203.33,487.490566037736,374.966850828729,309.944785276074,336.842975206612,270.309523809524,345.049217002237,NA,NA,NA,224.524822695035,610.625,NA,NA,NA,NA,201.506756756757,365.98,264.060344827586,NA,234.95652173913
"Honda - C 100 Dream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143.764705882353,269.37,NA,NA,NA,NA,NA,228.064516129032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Honda - Cb 450 Dx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270.74,53.5,1063.48611111111,1051.88571428571,NA,677.871794871795,NA,52.86,NA,NA,NA,NA,719.782470710612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Honda - Cb 500",NA,959.5,NA,NA,830.233333333333,346.43,1070.02909090909,209.76,767.689243027888,1356.53921568627,293.1,1070.4125,1222.76788830716,1327.70083102493,680.604062543906,NA,2230.14994080581,715.428571428571,1149.9701986755,1540.42558063461,1427.00843373494,817.405333333333,1212.73786407767,1142.64893617021,NA,NA,NA,1987.546875,NA,1204.4,222.4,NA,NA,NA,NA,1355.5,NA,1026.54545454545,NA,1137.97120158888
"Honda - Cb 600f Hornet",2453.26872246696,2357.24046920821,817.240601503759,3304.78048780488,2542.08434712084,1546.91589819255,1707.39558629776,2762.14680050188,1623.41784207354,2151.62722222222,1535.20403825717,2144.32559791617,1933.93198390354,2479.66401845208,2064.78035470668,2420.43272727273,2678.26047565119,2010.09132841328,1852.10510046368,2197.94852093738,2728.99577476233,1487.28597957289,1745.38427561837,1948.45638289879,1768.43454038997,2885.02425373134,1948.27853881279,2428.10767832803,1029,1727.665815937,2359.87148594378,NA,5121.875,2147.37251908397,1699.92789373814,2108.8627918676,2269.2783972962,1671.67037516171,2038.74642857143,1710.6694705842
"Honda - Cb1300 Super Four",NA,1689.29268292683,NA,2131.5,2237.66871794872,1591.25225225225,1897.94829760404,1700.64457831325,1803.41131498471,1304.79820627803,1993.81333333333,2496.04373177843,2332.26058201058,2837.07722007722,1118.26651818857,2177.9625,2475.48888888889,1928.48,1551.15212981744,2786.88943488944,2557.11843711844,932.23,2088.71899224806,1748.36641221374,1681.13131313131,2004.12962962963,1869.01694915254,539.93,NA,2095.32948310713,1405.62,1907.5625,NA,976.22,1848.66336633663,NA,NA,1961.89243027888,1871.42715231788,2267.02830188679
"Honda - Cbr 1000 F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2357.94623655914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,872.74,NA,NA,NA,NA
"Honda - Cbr 1000 Rr Fire Blade",3217.38961038961,4639.28244274809,NA,4365.48387096774,4033.24707412224,3503.19085487077,3347.11974522293,6015.57894736842,3449.92520641088,4101.73369565217,2644.78604651163,3694.67298578199,4903.1667638484,4525.65652173913,2323.22017045455,2112.75,4759.13625304136,3979.68632371393,3466.53887113951,5753.95482877188,5797.28368560106,3617.10970464135,3695.06564551422,4048.13370696557,4842.38378378378,4467.13225806452,NA,5905.91509433962,5275.60714285714,4235.20552243489,4002.69863013699,NA,NA,NA,3849.4776119403,5198.16781609195,NA,2503.13949275362,10070.9016393443,4751.66837944664
"Honda - Cbr 1100 Xx Super Blackbird",NA,NA,NA,NA,5438.88888888889,NA,NA,NA,1895.29,NA,NA,NA,951.16,3350.92857142857,6026,3178.26,3009.63829787234,NA,2777.59,2743.44871794872,NA,NA,683.752173913044,NA,NA,NA,NA,NA,NA,3084.07920792079,NA,NA,NA,NA,NA,3825.78,NA,NA,NA,788.301587301587
"Honda - Cbr 450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1937.36842105263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Honda - Cbr 450 Sr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2032.26,NA,NA,NA,NA,NA,67.6666666666667,1123.52,NA,534.697674418605,NA,NA,NA,NA,NA,NA,NA,45.6222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Honda - Cbr 600 F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2811.48,NA,NA,NA,NA,NA,NA,1897.95652173913,3405.86516853933,NA,113.26,598.1875,NA,NA,NA,NA,NA,2588.63888888889,NA,NA,NA,1021.54,NA,3671.76595744681,NA,1413.10204081633,NA,NA
"Honda - Cbr 600 Rr",5046.875,2616.2,NA,1634.05970149254,3948.51851851852,2334.1856866277,3336.792782305,2600.37158469945,3238.61725394897,4519.3137254902,3496.5141955836,3470.17931034483,4120.62943722944,4015.787109375,3386.17731629393,2647.95918367347,3293.4858490566,2389.89830508475,3617.23544303798,4598.71731225296,5128.83448275862,2387.85815602837,3027.01582014988,2925.14123124677,2940.78395061728,3131.61403508772,3060.05594405594,2626.35515548281,NA,4108.56743566992,1240.59036144578,NA,NA,2637.0985915493,NA,2854.74080882353,NA,2699.52716049383,2649.69565217391,4446.42067988669
"Honda - Cbr 900 Rr Fire Blade",NA,NA,NA,NA,NA,57.4390243902439,NA,NA,440.909090909091,312.68,68.0430107526882,NA,2798.13333333333,NA,1361.67502420985,NA,NA,NA,NA,2807.08114035088,NA,NA,48.7798742138365,NA,NA,NA,NA,NA,NA,4999.64383561644,NA,NA,NA,NA,NA,NA,NA,915.25,NA,2404.89380530973
"Honda - Cbx 150 Aero",NA,NA,NA,NA,NA,NA,NA,NA,186.208955223881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Honda - Cbx 200 Strada",NA,254.673913043478,NA,NA,27.5647058823529,73.2153846153846,NA,NA,359.187096774194,681.28,168,211.490909090909,352.111111111111,NA,NA,NA,NA,NA,NA,648.26,29,NA,714.625,NA,NA,NA,NA,356.04,NA,385.385026737968,NA,NA,NA,NA,164,NA,NA,374.091954022989,405.166666666667,315.06043956044
"Honda - Cbx 250 Twister",491.266094420601,715.533042007305,600.537190082645,963.950289017341,897.836553762219,435.91131025958,506.807874481942,567.643488745981,528.606877242104,551.487348178138,297.203714799281,542.265049415993,614.6274516539,671.155145326001,785.532177844762,154.912442396313,827.272988505747,463.463440860215,584.672365339579,1002.86509977827,738.957178185604,323.439156300703,695.938594052105,490.61798901927,122.32181425486,745.985633978763,525.900073475386,596.166064295225,321.456868570716,492.420711320543,548.940520446097,NA,637.46,497.658385093168,484.865800865801,424.466806722689,720.023255813953,475.759517066459,180.124309392265,796.907813254864
"Honda - Cbx 750 Four",NA,NA,NA,NA,NA,NA,NA,NA,27.14,NA,NA,NA,NA,NA,1198.68,NA,NA,NA,1103.16,725.023474178404,1280.8,NA,NA,NA,NA,NA,NA,NA,NA,1794.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Honda - Cbx 750 Four Indy",NA,NA,NA,NA,NA,NA,NA,NA,63.8333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.12,2123.36,1543.38,NA,NA,NA,NA,NA,NA,NA,NA,2592.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Honda - Cbx 750 R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1565.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Honda - Cg 125",NA,NA,NA,NA,NA,28.5,NA,NA,51.7555555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.7659574468085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Honda - Cg 125 Cargo",472.760416666667,319.983889528193,NA,543.612334801762,659.086170212766,335.24898511502,318.345029239766,342.59915164369,391.038399287609,483.131034482759,552,397.981294964029,520.802739726027,372.799019607843,442.310580204778,556.56015037594,531.12582781457,764.961538461539,40.0672268907563,550.103082364831,448.110834371108,467.510556621881,742.386156648452,348.929850274122,412.033333333333,568.503886010363,388.890909090909,47.5959260251943,199.413333333333,528.28544,389.645723905411,NA,798.813333333333,467.337662337662,NA,369.480122324159,234.681034482759,343.128377061893,136.573498964803,472.595113438045
"Honda - Cg 125 Fan / Fan Ks",161.451743304699,380.716828759986,358.042668269231,294.329371395608,532.702504038772,261.337698690393,426.842775077331,387.402095188826,252.487736956887,275.57467481586,189.292952948691,333.196791144554,426.297624561635,279.284931935534,433.387715930902,330.347200821777,361.901726473755,297.804005722461,301.186965990953,597.818068559348,340.955750947173,177.894193548387,504.356560765324,297.885599179051,210.950020652623,524.319121132924,289.557805518122,330.214919665535,253.559309309309,335.709797256283,389.567218651269,NA,404.261153846154,361.551194184839,273.585062240664,132.020874231122,280.627880184332,374.935258964143,204.113066386129,514.829491423413
"Honda - Cg 125 Fan Es",397.15,482.990825688073,527.161971830986,527.723209751143,751.580352644836,135.440414507772,561.454545454545,406.528380634391,457.887218045113,477.470052539405,629.735655737705,509.392617449664,464.491313131313,474.084660519698,586.175708113298,523.952034883721,427.734386314337,417.105995879065,436.05985915493,833.19969768223,389.107697618226,NA,542.022342530214,430.825475974615,NA,544.392249901147,409.592833876222,446.604693140794,509.474576271186,383.869938065746,404.805019305019,NA,396.6,488.530158730159,NA,338.4,385.535294117647,480.237089201878,NA,607.360368663594
"Honda - Cg 125 Titan",NA,NA,NA,NA,114,56.1774193548387,613.5,48.6377952755906,193.632444485337,NA,186.231481481481,217.162303664921,580.43,NA,196.06,NA,51.27,271.888059701493,81.44,270.578723404255,36.18,NA,651.666666666667,495.036036036036,108.230769230769,NA,NA,18.96,NA,326.575572519084,NA,NA,NA,NA,NA,230.756972111554,NA,293.862804878049,69.66,NA
"Honda - Cg 125 Titan-es",193.734636871508,395.572479506814,NA,327.105263157895,443.50406504065,388.304347826087,487.424418604651,507.324503311258,435.122655122655,325.1,22.12,446.585677749361,338.137931034483,NA,695.843195266272,NA,512.357894736842,444.118556701031,359.113043478261,615.853211009174,403.21676300578,431.296296296296,510.26,351.663461538462,435.5,428.609756097561,331.8,336.502512562814,NA,518.076335877863,465.32,NA,NA,1565.72,391.2,210.617142857143,216.197368421053,237.083044982699,NA,363.536842105263
"Honda - Cg 125 Titan-ks",NA,337.014925373134,36.18,493.166666666667,353.921714818267,293.802653399668,420.411622276029,411.953201970443,363.953622701502,324.372807017544,79.3576642335766,450.20424403183,353.683823529412,76.4634146341463,NA,NA,650.582781456954,512.314655172414,400.596153846154,404.325462459923,385.064814814815,469.609154929578,634.988913525499,308.470620538166,175.645502645503,793.3,NA,168.270386266094,360.699604743083,315.93818380744,443.586956521739,NA,437.16,69.8610354223433,444.74,362.726635514019,209.25,270.636023916293,361.563636363636,476.661941112323
"Honda - Cg 125 Titan-kse",NA,266.56,NA,NA,142.189873417722,73.5632911392405,350.289473684211,NA,484.375,343.86,NA,372.470899470899,344,38.7324713868113,407.97520661157,NA,486.698795180723,NA,222.78,354.72,NA,94.609756097561,304.266666666667,336.154455445545,148.432692307692,NA,NA,383.670588235294,NA,181.470588235294,645.65,NA,NA,NA,NA,306.593333333333,NA,307.20202020202,477.58,333.560975609756
"Honda - Cg 125 Today",NA,NA,NA,NA,NA,119.738892873679,NA,NA,148.530612244898,NA,NA,NA,279.095890410959,NA,NA,NA,47,NA,29.0606060606061,920.516076161128,NA,51.26,NA,194.045454545455,NA,NA,NA,30.6875,NA,342.2,NA,NA,NA,4.51515151515151,NA,180.12,NA,442.62,23.62,NA
"Honda - Cg 150 Sport",427.306878306878,425.153051643192,148.166666666667,602.770462633452,590.259009009009,422.288782816229,435.164705882353,425.189054726368,318.984588026082,391.051323175622,451.566878980892,366.744212962963,448.728518057285,521.81453030866,627.278481012658,382.38418079096,408.01902587519,563.460972017673,354.627551020408,661.152444870566,657.888888888889,258.215053763441,576.563418406806,373.485879200165,42.110251450677,627.329120731379,373.934210526316,334.282845188285,684.72,388.102001937557,388.414383561644,NA,NA,551.182608695652,391.992424242424,474.084985835694,585.068965517241,392.847914547304,238.017064846416,569.945606694561
"Honda - Cg 150 Titan-es",386.454976303317,381.359478359478,448.777472527473,555.783076923077,488.642247559227,433.080296479308,417.314361350099,394.375168893559,341.915709459459,422.148656215005,207.568149210904,376.180466796332,421.272710349963,441.263296471827,607.438322368421,405.117873158232,403.55685777637,437.57527333894,318.0273556231,683.609460946095,562.306627516778,283.901578458682,455.16633941094,351.557474791758,168.510743801653,513.54147561484,382.161839246922,368.817547937246,270.863576524568,360.304125101105,421.107253685027,NA,439.793956043956,858.595695364238,358.601390498262,340.572403705509,328.136132315522,346.900895522388,255.055483870968,488.65832870113
"Honda - Cg 150 Titan-esd/ Titan Special Edition",248.71335504886,412.574057037719,442.626262626263,522.467256637168,527.260367237467,412.00440197967,406.810131477185,408.919268635724,343.926938039662,400.997136311569,306.424319927846,413.324621324621,442.010388437218,535.833768949294,594.808330391811,465.234352256186,417.397833207357,435.166893547509,253.41385597083,623.409698750918,556.540102726195,293.390287769784,554.503142573602,364.588500659659,282.446524064171,574.91049885882,366.693530701754,412.689395073366,316.403225806452,380.564484470615,361.443646805456,NA,578.670588235294,553.720692368214,338.494318181818,310.513605442177,355.483801295896,362.048255692501,355.68156424581,532.541981468282
"Honda - Cg 150 Titan-ks/ Titan-job",534.047961630695,405.44146659222,723.501858736059,677.528985507246,513.140749148695,302.522634730539,494.712333965845,425.590770672289,338.517379885679,378.289145705869,277.155084125823,362.805189694255,430.41684048743,404.328182941904,489.00922953451,359.066956521739,427.121337571911,389.662217063262,369.129846526656,647.845657493789,527.252491694352,317.880834567915,467.678160421884,358.415271435819,277.254810495627,546.519079418078,362.065592264303,297.902775987719,423.416481069042,377.071880503555,397.340072576464,NA,734.768925160558,445.823529411765,255.887608069164,272.112692556311,327.27829787234,387.22174526277,258.265784726398,537.599828864803
"Honda - Civic Coupe Ex/ Exs 1.6 16v 2p",NA,NA,NA,NA,NA,NA,1175.01341463415,NA,962.2,110.4375,NA,661.711340206185,1045.29178470255,1132.19718309859,1249.74157303371,NA,1080.86,1115.06,954.774327122153,951.155817813019,994.256744186046,882.72,1210.64255319149,797.495081967213,NA,1098.72,1047.68,736.026666666667,NA,1112.82894736842,NA,NA,NA,NA,NA,645.622641509434,NA,1124,NA,907.426666666667
"Honda - Civic Crx/ Targa Vti",NA,NA,NA,NA,NA,1025.38,76.4,NA,1213.87861017864,NA,NA,NA,NA,NA,150.8,NA,714.88,NA,92.5,1013.87106017192,NA,80.7,NA,664.516949152542,NA,NA,NA,1179.08053691275,NA,1005.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Honda - Civic Hatch Dx",NA,NA,NA,NA,NA,1167.27,NA,NA,NA,NA,NA,NA,1137.17647058824,1328.2,678.24,NA,NA,NA,1077.39583333333,1024.79135802469,753.422641509434,218.18,NA,430.606836806874,NA,NA,1110.46,1106,NA,1059.10843373494,NA,NA,NA,NA,NA,NA,NA,988.6,NA,NA
"Honda - Civic Hatch Lsi",NA,NA,NA,NA,135.88,NA,NA,NA,NA,NA,NA,1307.65625,NA,NA,NA,NA,NA,NA,1159.3,1013.12441314554,1002.75,NA,1873.66,162.88,NA,NA,NA,NA,NA,901.12676056338,NA,NA,NA,NA,NA,NA,NA,NA,NA,966.75
"Honda - Civic Hatch Lx Aut",NA,NA,NA,NA,NA,NA,1443.5,NA,NA,81.4,NA,NA,1617.68333333333,NA,NA,NA,NA,NA,922.73,965.549689440994,1413.68,NA,NA,936.708860759494,NA,NA,NA,NA,NA,773.115384615385,NA,NA,NA,NA,NA,NA,NA,NA,NA,1489.08
"Honda - Civic Hatch Si",NA,NA,NA,NA,1247.94444444444,100.54,1739.81818181818,NA,454.814814814815,1071.82,NA,NA,1083.12,1387.76,NA,NA,NA,NA,446.57,944.550865800866,925.715,99.86,1088.41,NA,NA,NA,NA,1403.66,NA,921.03125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Honda - Civic Hatch Vti",NA,1886.36,NA,NA,NA,1030.32894736842,689.590551181102,NA,1618.79,NA,NA,61.32,132.9375,1648.0985915493,NA,NA,NA,NA,500.850746268657,1237.361093452,2499.62454873646,NA,33.17,1537.71,NA,NA,NA,NA,NA,615.642105263158,NA,NA,NA,NA,NA,NA,NA,NA,NA,977.13
"Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f)",NA,1313.35839775123,NA,2157.98,1647.98921532168,1056.77748553393,1121.95176848875,1435.96633941094,937.974812030075,1650.99348534202,1234.23140495868,1455.70591313448,1473.58914473684,1358.95366218236,1423.5306122449,1147.17647058824,1291.17,1059.64855072464,1248.86563307494,1320.8787993921,1620.84300159659,984.064797507788,1415.50663859019,1329.09935897436,1216.76595744681,1423.953307393,1154.86104092976,1485.82799245994,1280.46118721461,955.07718663748,1324.99836333879,NA,NA,1284.08843537415,1407.20529801325,968.862348178138,1240.07407407407,944.371636363636,1090.57407407407,1203.33333333333
"Honda - Civic Seda Ex/ Exs 1.6 Mec. 4p",NA,2598.76923076923,NA,NA,NA,1088.9,1435.46666666667,NA,135,NA,NA,NA,1229.4578313253,761.12,NA,NA,NA,NA,1390.67,666.17955801105,894.688940092166,NA,271.46,657.904761904762,NA,NA,NA,1157.32,NA,1320.67,NA,NA,NA,NA,NA,629.340909090909,NA,NA,NA,NA
"Honda - Civic Seda Ex/ Exs Aut. 4p/ Del-sol 2p",NA,747.55,NA,1722.62264150943,1489.69003690037,999.334838224229,923.494661921708,1298.91338582677,1038.66936790924,1437.60600168764,751.034042553192,1386.3963963964,996.087739032621,1095.66089965398,1175.0650887574,1050.7,1034.50793650794,1112.84341637011,1155.87237687366,1116.02320846286,966.627819548872,910.028727770178,1363.21925925926,1030.18823529412,910.271111111111,1098.92207792208,1472,961.4625,NA,889.133620734824,1063.171875,1102.44859813084,NA,804.779069767442,1493.80952380952,548.026666666667,3093.95918367347,870.459923664122,881.583941605839,1055.31590909091
"Honda - Civic Seda Lx 1.5/ 1.6",NA,NA,NA,NA,1651.96,81.7216494845361,762.71052631579,NA,814.275449101796,963.22,NA,1290.23728813559,826.661417322835,68.36,745.342465753425,NA,NA,665.6,277.080291970803,803.909265175719,870.102183406113,966.81,1061.81628959276,410.946902654867,NA,NA,NA,1506.7,NA,834.04892086331,NA,NA,NA,NA,NA,757.460317460318,NA,1411.98461538462,NA,761.898601398601
